"Alzheimer"	"Parkinson"	"Autism"	"Schizophrenia"
"CAMK2A"	"ATP5MC2"	"PRDM16"	"GIGYF2"
"CAMKK2"	"ATP5MC3"	"PRKCZ"	"GJA5"
"CAND1"	"ATP5PB"	"PROKR2"	"GJA8"
"CAP1"	"ATP5PD"	"PTCHD1"	"GP1BB"
"CAP2"	"ATP5PF"	"PTEN"	"HARS1"
"CASD1"	"ATP5PO"	"PWAR1"	"HIRA"
"CASP8AP2"	"CASP3"	"PWRN1"	"HTR2A"
"CCDC6"	"CASP9"	"RAD21"	"JMJD1C"
"CCDC92"	"COX4I1"	"RAI1"	"KRT81"
"CCK"	"COX4I2"	"RERE"	"KRT83"
"CCN3"	"COX5A"	"REV3L"	"KRT86"
"CCNA1"	"COX5B"	"RFC2"	"LRRK2"
"CCND2"	"COX6A1"	"RPL10"	"MED12"
"CCNG2"	"COX6A2"	"RREB1"	"MSTO1"
"CCNH"	"COX6B1"	"SATB1"	"MT-TE"
"CCNL1"	"COX6B2"	"SATB2"	"MT-TS2"
"CCPG1"	"COX6C"	"SCAPER"	"MTHFR"
"CCT2"	"COX6CP3"	"SCLT1"	"MYO7A"
"CCT3"	"COX7A1"	"SCN1A"	"NIPA1"
"CCT4"	"COX7A2"	"SCN2A"	"NIPA2"
"CCT5"	"COX7A2L"	"SCN3A"	"NKX2-1"
"CCZ1"	"COX7B"	"SCN8A"	"PCDH15"
"CD200"	"COX7B2"	"SDCCAG8"	"PDZD7"
"CD59"	"COX7C"	"SDHB"	"PRODH"
"CDC27"	"COX8A"	"SDHC"	"PSAP"
"CDC40"	"COX8C"	"SDHD"	"RBM12"
"CDC42"	"CYC1"	"SEC23B"	"RREB1"
"CDC5L"	"CYCS"	"SEC24C"	"RTN4R"
"CDH10"	"GPR37"	"SEMA3E"	"SEC24C"
"CDH11"	"MT-ATP6"	"SETD2"	"SETD1A"
"CDH18"	"MT-ATP8"	"SH2B1"	"SHANK3"
"CDH8"	"MT-ND2"	"SHANK3"	"SLC12A2"
"CDK14"	"MT-ND3"	"SIN3A"	"SNCA"
"CDK16"	"MT-ND4L"	"SKI"	"SYN2"
"CDK17"	"NDUFA1"	"SLC13A5"	"TBX1"
"CDK7"	"NDUFA10"	"SLC1A2"	"TPM2"
"CDKN2D"	"NDUFA2"	"SLC35C1"	"TUBG1"
"CDO1"	"NDUFA3"	"SLC38A3"	"UFD1"
"CDS2"	"NDUFA4"	"SLC9A6"	"UPF3B"
"CEP15"	"NDUFA4L2"	"SMAD4"	"USH1C"
"CEPT1"	"NDUFA5"	"SMC1A"	"USH1G"
"CHCHD2"	"NDUFA6"	"SMC3"	"USH2A"
"CHGA"	"NDUFA7"	"SNORD115-1"	"VPS35"
"CHL1"	"NDUFA8"	"SNORD116-1"	"WFS1"
"CHMP2A"	"NDUFA9"	"SNRPN"	"WHRN"
"CHN1"	"NDUFAB1"	"SOX2"	"ZBTB20"
"CHP1"	"NDUFB1"	"SOX3"	"ZDHHC9"
"CHRDL1"	"NDUFB10"	"SPEN"	"ABCB7"
"CISD1"	"NDUFB2"	"SPTBN1"	"ADGRV1"
"CKB"	"NDUFB3"	"STS"	"AMACR"
"CKMT1B"	"NDUFB4"	"STX1A"	"APOL2"
"CKS2"	"NDUFB5"	"SUPT16H"	"APOL4"
"CLASP2"	"NDUFB6"	"SYNGAP1"	"ARSA"
"CLDN10"	"NDUFB7"	"SYNJ1"	"ARSG"
"CLIC2"	"NDUFB8"	"SZT2"	"ARVCF"
"CLIP1"	"NDUFB9"	"TAF4"	"ATG7"
"CLIP3"	"NDUFC1"	"TAF6"	"ATP2A2"
"CLTC"	"NDUFC2"	"TAOK1"	"CAT"
"CNKSR2"	"NDUFS1"	"TBCK"	"CDH23"
"CNNM1"	"NDUFS2"	"TBL2"	"CEP78"
"CNOT7"	"NDUFS3"	"TBR1"	"CHI3L1"
"CNPY2"	"NDUFS4"	"TBX1"	"CHRNA7"
"CNR1"	"NDUFS5"	"TCF12"	"CIB2"
"CNTNAP2"	"NDUFS6"	"TMEM270"	"CLRN1"
"COA3"	"NDUFS7"	"TMLHE"	"CNTNAP2"
"COL4A1"	"NDUFS8"	"TRAK1"	"COMT"
"COL5A2"	"NDUFV1"	"TRIM32"	"DAOA"
"COMMD3"	"NDUFV2"	"TSC1"	"DNAJC13"
"COPA"	"NDUFV3"	"TSC2"	"DNMT3A"
