"Alzheimer"	"Parkinson"	"Autism"	"Schizophrenia"
"QPCT"	"NDUFB1"	"ZFX"	"NKX2-1"
"R3HDM1"	"NDUFB10"	"AADAT"	"PCDH15"
"RAB11A"	"NDUFB2"	"AANAT"	"PDZD7"
"RAB2A"	"NDUFB3"	"ABAT"	"PRODH"
"RAB3A"	"NDUFB4"	"ABCD4"	"PSAP"
"RAB6A"	"NDUFB5"	"ABL1"	"RBM12"
"RAB7A"	"NDUFB6"	"ABL2"	"RREB1"
"RABEPK"	"NDUFB7"	"ACACA"	"RTN4R"
"RAD23B"	"NDUFB8"	"ACE"	"SEC24C"
"RAD51C"	"NDUFB9"	"ADA"	"SETD1A"
"RALB"	"NDUFC1"	"ADAM10"	"SHANK3"
"RANBP2"	"NDUFC2"	"ADGRL3"	"SLC12A2"
"RANBP9"	"NDUFS1"	"ADORA2A"	"SNCA"
"RAP1GDS1"	"NDUFS2"	"ADRA1A"	"SYN2"
"RAPGEF4"	"NDUFS3"	"ADRA1B"	"TBX1"
"RAPGEFL1"	"NDUFS4"	"ADRA1D"	"TPM2"
"RASA4"	"NDUFS5"	"ADRB2"	"TUBG1"
"RASAL1"	"NDUFS6"	"ADSS2"	"UFD1"
"RB1CC1"	"NDUFS7"	"AGMO"	"UPF3B"
"RBBP7"	"NDUFS8"	"AGTR1"	"USH1C"
"RBMX"	"NDUFV1"	"AHCY"	"USH1G"
"RBX1"	"NDUFV2"	"AKR1A1"	"USH2A"
"RCAN2"	"NDUFV3"	"AKR1B1"	"VPS35"
"RCHY1"	"PPID"	"AKR1C1"	"WFS1"
"RCN2"	"SDHA"	"AKR1C3"	"WHRN"
"RCOR1"	"SDHB"	"AKT1S1"	"ZBTB20"
"RDH11"	"SDHC"	"AKT2"	"ZDHHC9"
"RECQL"	"SDHCP5"	"AKT3"	"ABCB7"
"REEP2"	"SDHD"	"ALDH1L1"	"ADGRV1"
"REEP5"	"SEPTIN5"	"ALDH1L2"	"AMACR"
"RFC5"	"SLC18A1"	"ALDH2"	"APOL2"
"RFPL1S"	"SLC25A31"	"ALDH9A1"	"APOL4"
"RFPL3S"	"SLC25A4"	"ALPI"	"ARSA"
"RFX5"	"SLC25A5"	"ALPL"	"ARSG"
"RGS14"	"SLC25A6"	"AMN"	"ARVCF"
"RGS2"	"UBA1"	"AMPD1"	"ATG7"
"RGS20"	"UBA7"	"AOC1"	"ATP2A2"
"RGS4"	"UBB"	"AOX1"	"CAT"
"RGS7"	"UBE2G1"	"APP"	"CDH23"
"RHEBP1"	"UBE2G2"	"APRT"	"CEP78"
"RIDA"	"UBE2J1"	"ASMT"	"CHI3L1"
"RIMS2"	"UBE2J2"	"ATG10"	"CHRNA7"
"RIPOR2"	"UBE2L3"	"ATG101"	"CIB2"
"RIT2"	"UBE2L6"	"ATG12"	"CLRN1"
"RNASET2"	"UQCR10"	"ATG13"	"CNTNAP2"
"RNF11"	"UQCR10P1"	"ATG14"	"COMT"
"RNF14"	"UQCR11"	"ATG16L1"	"DAOA"
"RNF38"	"UQCRB"	"ATG2A"	"DNAJC13"
"RNF5"	"UQCRC2"	"ATG3"	"DNMT3A"
"RNF6"	"UQCRFS1"	"ATG4A"	"DRD3"
"RNMT"	"UQCRH"	"ATG5"	"DSG4"
"ROBO1"	"UQCRHL"	"ATG7"	"EIF4G1"
"ROCK2"	"UQCRQ"	"ATIC"	"ESPN"
"RPE"	"VDAC1"	"BECN1"	"FLI1"
"RPL14"	"VDAC2"	"BHMT"	"FTSJ1"
"RPL15"	"VDAC2P5"	"CACNG1"	"GBA1"
"RPL31"	"VDAC3"	"CACNG2"	"GIGYF2"
"RPL35A"	"CASP2"	"CACNG3"	"GJA5"
"RPL38"	"CASP6"	"CACNG4"	"GJA8"
"RPL6"	"CASP7"	"CACNG5"	"GP1BB"
"RPN2"	"CCNE1"	"CACNG6"	"HARS1"
"RPP30"	"CCNE2"	"CACNG7"	"HIRA"
"RPRM"	"DDC"	"CACNG8"	"HTR2A"
"RPS21"	"EPRS1"	"CALM1"	"JMJD1C"
"RPS26"	"MAPK11"	"CBL"	"KRT81"
"RRAGA"	"MAPK12"	"CBLIF"	"KRT83"
"RSU1"	"MAPK13"	"CBR1"	"KRT86"
"RTL8A"	"MAPK14"	"CBS"	"LRRK2"
"RTL8C"	"MIR10A"	"CCT6A"	"MED12"
"RTN1"	"MIR1224"	"CD320"	"MSTO1"
"RTN2"	"MIR127"	"CDO1"	"MT-TE"
"RTN3"	"MIR128-1"	"CNR1"	"MT-TS2"
"RTN4"	"MIR128-2"	"CNR2"	"MTHFR"
"RUNDC3A"	"MIR1294"	"CNTN1"	"MYO7A"
"RUNX1T1"	"MIR132"	"CNTN2"	"NIPA1"
"RUSC1"	"MIR136"	"CNTN3"	"NIPA2"
"RXYLT1"	"MIR16-2"	"CNTN4"	"NKX2-1"
"S1PR1"	"MIR18A"	"CNTN5"	"PCDH15"
"SACS"	"MIR195"	"CNTN6"	"PDZD7"
"SAMM50"	"MIR19A"	"CNTNAP1"	"PRODH"
"SAP18"	"MIR19B1"	"CNTNAP3"	"PSAP"
"SAT1"	"MIR19B2"	"CNTNAP4"	"RBM12"
"SC5D"	"MIR212"	"CPLX1"	"RREB1"
"SCAMP1"	"MIR26A1"	"CSAD"	"RTN4R"
"SCAPER"	"MIR26A2"	"CTH"	"SEC24C"
"SCCPDH"	"MIR26B"	"CTNNB1"	"SETD1A"
"SCFD1"	"MIR30A"	"CTTN"	"SHANK3"
"SCG3"	"MIR30E"	"CUBN"	"SLC12A2"
"SCG5"	"MIR338"	"CYP2C19"	"SNCA"
"SCHIP1"	"MIR34B"	"CYP2C9"	"SYN2"
"SCN1A"	"MIR34C"	"CYP2D6"	"TBX1"
"SCN2A"	"MIR370"	"CYP3A4"	"TPM2"
"SCN3A"	"MIR375"	"DAG1"	"TUBG1"
"SCN3B"	"MIR409"	"DAGLA"	"UFD1"
"SCP2"	"MIR431"	"DAGLB"	"UPF3B"
"SCRG1"	"MIR433"	"DBH"	"USH1C"
"SDHA"	"MIR4448"	"DDC"	"USH1G"
"SDHB"	"MIR485"	"DEPTOR"	"USH2A"
"SDHD"	"MIR503"	"DGUOK"	"VPS35"
"SEC13"	"MIR873"	"DHFR"	"WFS1"
"SEC23B"	"MIRLET7G"	"DLG1"	"WHRN"
"SEC23IP"	"SYT11"	"DLG2"	"ZBTB20"
"SEC31A"	"ABCA7"	"DLG3"	"ZDHHC9"
"SEC61A2"	"ACBD6"	"DLG4"	"ABCB7"
"SELENOF"	"ADH1C"	"DLG5"	"ADGRV1"
"SELENOT"	"AFG3L2"	"DLGAP1"	"AMACR"
"SEM1"	"ALS2"	"DLGAP2"	"APOL2"
"SEPTIN6"	"AOPEP"	"DLGAP3"	"APOL4"
"SERGEF"	"AP5Z1"	"DLGAP4"	"ARSA"
"SERINC3"	"APOE"	"DLGAP5"	"ARSG"
"SERPINI1"	"APP"	"DNMT1"	"ARVCF"
"SEZ6L"	"ARVCF"	"DRD2"	"ATG7"
"SFPQ"	"ATN1"	"DRD4"	"ATP2A2"
"SH3BGRL"	"ATP13A2"	"DRD5"	"CAT"
"SH3GLB2"	"ATP1A3"	"EGFR"	"CDH23"
"SH3YL1"	"ATP6AP2"	"FAAH"	"CEP78"
"SHANK1"	"ATP7B"	"FAAH2"	"CHI3L1"
"SHANK2"	"ATXN2"	"FMO1"	"CHRNA7"
"SHC3"	"ATXN3"	"FOLH1"	"CIB2"
"SIRT3"	"ATXN8OS"	"FOLR1"	"CLRN1"
"SKAP2"	"C19orf12"	"FOLR2"	"CNTNAP2"
"SKIC8"	"C9orf72"	"GABBR1"	"COMT"
"SLC12A5"	"CAT"	"GABRA1"	"DAOA"
"SLC1A1"	"CBS"	"GABRA3"	"DNAJC13"
"SLC1A4"	"CHCHD10"	"GABRA4"	"DNMT3A"
"SLC25A11"	"CHCHD2"	"GABRB1"	"DRD3"
"SLC25A12"	"CHMP2B"	"GABRB3"	"DSG4"
"SLC25A14"	"CLN3"	"GABRG1"	"EIF4G1"
"SLC25A3"	"COASY"	"GABRQ"	"ESPN"
"SLC25A32"	"COMT"	"GAD1"	"FLI1"
"SLC25A5"	"COQ2"	"GAD2"	"FTSJ1"
"SLC25A6"	"CP"	"GCAT"	"GBA1"
"SLC30A9"	"CSF1R"	"GCH1"	"GIGYF2"
"SLC35A1"	"CYP27A1"	"GK"	"GJA5"
"SLC35B1"	"DCTN1"	"GKAP1"	"GJA8"
"SLC4A3"	"DNAJC12"	"GLS"	"GP1BB"
"SLC6A1"	"DNAJC13"	"GLS2"	"HARS1"
"SLC9A6"	"DNAJC5"	"GLUL"	"HIRA"
"SLCO1C1"	"DNAJC6"	"GNAQ"	"HTR2A"
"SLIT2"	"EIF2AK2"	"GNMT"	"JMJD1C"
"SMAP1"	"EIF4G1"	"GOT2"	"KRT81"
"SMARCA2"	"FBXO7"	"GPHN"	"KRT83"
"SMYD2"	"FMR1"	"GRIA1"	"KRT86"
"SNAP25"	"FTL"	"GRIA2"	"LRRK2"
"SNAPC5"	"FUS"	"GRIA4"	"MED12"
"SNCA"	"GABRA1"	"GRIN1"	"MSTO1"
"SNCG"	"GABRG2"	"GRIN2A"	"MT-TE"
"SNN"	"GBA1"	"GRIN2B"	"MT-TS2"
"SNRK"	"GCH1"	"GRIN2C"	"MTHFR"
"SNRNP27"	"GIGYF2"	"GRIN3A"	"MYO7A"
"SNRPA1"	"GP1BB"	"GRIN3B"	"NIPA1"
"SNRPD2"	"GRN"	"GRIP1"	"NIPA2"
"SNRPN"	"HIRA"	"GRIP2"	"NKX2-1"
"SNTG1"	"HTRA2"	"GRM1"	"PCDH15"
"SNU13"	"IMPDH2"	"GRM2"	"PDZD7"
"SNX10"	"JAM2"	"GRM3"	"PRODH"
"SNX3"	"JMJD1C"	"GRM4"	"PSAP"
"SNX4"	"JPH3"	"GRM5"	"RBM12"
"SOCS2"	"KCNN2"	"GRM6"	"RREB1"
"SON"	"KIF5A"	"GRM7"	"RTN4R"
"SORBS2"	"LRRK2"	"GRM8"	"SEC24C"
"SORCS3"	"LYST"	"HCFC1"	"SETD1A"
"SPCS1"	"MAPT"	"HDC"	"SHANK3"
"SPG21"	"MECP2"	"HNMT"	"SLC12A2"
"SPINT2"	"MPO"	"HOMER1"	"SNCA"
"SRD5A1"	"MPV17"	"HOMER2"	"SYN2"
"SRP19"	"MT-TT"	"HOMER3"	"TBX1"
"SRP54"	"MYORG"	"HPRT1"	"TPM2"
"SRP72"	"NAA60"	"HTR1D"	"TUBG1"
"SRPK2"	"NOS3"	"HTR1E"	"UFD1"
"SRPRA"	"NOTCH3"	"HTR1F"	"UPF3B"
"SRSF2"	"NR4A2"	"HTR2A"	"USH1C"
"SRSF3"	"PANK2"	"HTR2B"	"USH1G"
"SRSF5"	"PARK7"	"HTR3B"	"USH2A"
"SSB"	"PCBD1"	"HTR3C"	"VPS35"
"SSBP1"	"PCDH19"	"HTR3D"	"WFS1"
"SSR1"	"PDE10A"	"HTR3E"	"WHRN"
"SST"	"PDGFB"	"HTR4"	"ZBTB20"
"ST6GALNAC5"	"PDGFRB"	"HTR6"	"ZDHHC9"
"STAM"	"PINK1"	"HTR7"	"ABCB7"
"STAMBP"	"PLA2G6"	"IDO1"	"ADGRV1"
"STAT1"	"PLAU"	"IDO2"	"AMACR"
"STK24"	"POLG"	"IMPDH1"	"APOL2"
"STMN2"	"PPP2R2B"	"INSR"	"APOL4"
"STMN3"	"PRKAR1B"	"ITPA"	"ARSA"
"STOML1"	"PRKN"	"KCNA1"	"ARSG"
"STS"	"PRKRA"	"KCNA3"	"ARVCF"
"STX1A"	"PRNP"	"KCNA4"	"ATG7"
"STXBP1"	"PSAP"	"KCNA5"	"ATP2A2"
"STXBP5L"	"PSEN1"	"KCNA6"	"CAT"
"SUB1"	"PSEN2"	"KCNA7"	"CDH23"
"SUCLA2"	"PTPA"	"KIT"	"CEP78"
"SULT4A1"	"PTRHD1"	"KMO"	"CHI3L1"
"SUMO1"	"PTS"	"KYAT1"	"CHRNA7"
"SUMO2"	"RAB39B"	"KYAT3"	"CIB2"
"SUPT4H1"	"RREB1"	"KYNU"	"CLRN1"
"SUPT7L"	"SCARB2"	"LMBRD1"	"CNTNAP2"
"SV2A"	"SCN1A"	"MAOB"	"COMT"
"SV2B"	"SCN1B"	"MAP1LC3A"	"DAOA"
"SYN1"	"SCN2A"	"MAPKAP1"	"DNAJC13"
"SYN2"	"SCN9A"	"MAT1A"	"DNMT3A"
"SYNCRIP"	"SEC24C"	"MAT2B"	"DRD3"
"SYNGR1"	"SIGMAR1"	"MC4R"	"DSG4"
"SYNGR3"	"SLC18A2"	"MLST8"	"EIF4G1"
"SYNJ1"	"SLC20A2"	"MMAA"	"ESPN"
"SYT1"	"SLC30A10"	"MMACHC"	"FLI1"
"SYT5"	"SLC39A14"	"MMADHC"	"FTSJ1"
"TAC1"	"SLC6A3"	"MMUT"	"GBA1"
"TACC2"	"SNCA"	"MOCOS"	"GIGYF2"
"TACO1"	"SNCAIP"	"MTHFD1"	"GJA5"
"TAF9"	"SNCB"	"MTHFD1L"	"GJA8"
"TAGLN3"	"SORL1"	"MTHFD2"	"GP1BB"
"TARBP1"	"SPG11"	"MTHFD2L"	"HARS1"
"TASP1"	"SPTLC1"	"MTHFR"	"HIRA"
"TBCA"	"SQSTM1"	"MTOR"	"HTR2A"
"TBK1"	"STUB1"	"MTR"	"JMJD1C"
"TBPL1"	"SYNJ1"	"MTRR"	"KRT81"
"TCEAL1"	"TAF1"	"NADSYN1"	"KRT83"
"TCEAL2"	"TARDBP"	"NCAM1"	"KRT86"
"TCERG1"	"TBK1"	"NGLY1"	"LRRK2"
"TDP2"	"TBP"	"NLGN1"	"MED12"
"TENM1"	"TBX1"	"NLGN2"	"MSTO1"
"TERF2IP"	"TH"	"NLGN4X"	"MT-TE"
"TFDP1"	"TK2"	"NMNAT1"	"MT-TS2"
"TFRC"	"TMEM106B"	"NOS1"	"MTHFR"
"THOC5"	"TMEM240"	"NOS2"	"MYO7A"
"THY1"	"TNR"	"NOS3"	"NIPA1"
"THYN1"	"TOMM40"	"NOX1"	"NIPA2"
"TIGAR"	"TREM2"	"NOX3"	"NKX2-1"
"TIMM17A"	"TRPM7"	"NOX4"	"PCDH15"
"TIMM23"	"TSPOAP1"	"NOX5"	"PDZD7"
"TLE5"	"TWNK"	"NRXN1"	"PRODH"
"TLK1"	"UBTF"	"NRXN2"	"PSAP"
"TM2D1"	"UCHL1"	"NRXN3"	"RBM12"
"TM2D3"	"UFD1"	"OPRM1"	"RREB1"
"TM6SF1"	"UQCRC1"	"OXT"	"RTN4R"
"TMBIM6"	"VCP"	"OXTR"	"SEC24C"
"TMED2"	"VPS13A"	"PCBD1"	"SETD1A"
"TMEFF1"	"VPS13C"	"PCBD2"	"SHANK3"
"TMEM126B"	"VPS35"	"PDGFRA"	"SLC12A2"
"TMEM147"	"WARS2"	"PDGFRB"	"SNCA"
"TMEM14A"	"WDR45"	"PDXK"	"SYN2"
"TMEM208"	"XPR1"	"PIK3AP1"	"TBX1"
"TMEM50A"	"BMP2"	"PIK3C3"	"TPM2"
"TMOD1"	"FNIP1"	"PIK3CB"	"TUBG1"
"TMSB10"	"GAA"	"PIK3CD"	"UFD1"
"TNFRSF21"	"GTPBP3"	"PIK3R1"	"UPF3B"
"TOMM20"	"IFNG"	"PIK3R2"	"USH1C"
"TOMM70"	"JAG2"	"PIK3R3"	"USH1G"
"TOP1"	"LAMP2"	"PIK3R4"	"USH2A"
"TOR1A"	"MRPS14"	"PLCG1"	"VPS35"
"TOX"	"MT-CO1"	"PLCG2"	"WFS1"
"TOX3"	"MT-CO2"	"PNMT"	"WHRN"
"TPBG"	"MT-CO3"	"PNP"	"ZBTB20"
"TPD52L1"	"MT-CYB"	"PNPO"	"ZDHHC9"
"TPGS2"	"MT-ND1"	"PRKAA1"	"ABCB7"
"TPI1"	"MT-ND4"	"PRKAA2"	"ADGRV1"
"TRIB1"	"MT-ND5"	"PRKACA"	"AMACR"
"TRIM32"	"MT-ND6"	"PRKACB"	"APOL2"
"TRIM36"	"MT-TC"	"PRKACG"	"APOL4"
"TRIM37"	"MT-TF"	"PRKAR1A"	"ARSA"
"TRMT11"	"MT-TH"	"PRKAR1B"	"ARSG"
"TRO"	"MT-TK"	"PRKAR2B"	"ARVCF"
"TRPC1"	"MT-TL1"	"PRKCA"	"ATG7"
"TRRAP"	"MT-TQ"	"PRKCB"	"ATP2A2"
"TSG101"	"MT-TS2"	"PRKCD"	"CAT"
"TSNAX"	"MT-TV"	"PRKCG"	"CDH23"
"TSPAN13"	"MT-TW"	"PTK2B"	"CEP78"
"TSPAN3"	"MTFMT"	"PTS"	"CHI3L1"
"TSPAN7"	"NDUFAF1"	"QDPR"	"CHRNA7"
"TSPOAP1"	"PRKAG2"	"QPRT"	"CIB2"
"TSPYL1"	"TCAP"	"RB1CC1"	"CLRN1"
"TTC1"	"TNNI3"	"REN"	"CNTNAP2"
"TTC3"	"TSC1"	"RFK"	"COMT"
"TUBB2A"	"TSC2"	"RHEB"	"DAOA"
"TUBB4B"	"APAF1"	"RHOA"	"DNAJC13"
"TUBG2"	"ATP5F1A"	"RICTOR"	"DNMT3A"
"TUFM"	"ATP5F1B"	"RIT2"	"DRD3"
"TXN"	"ATP5F1C"	"RPTOR"	"DSG4"
"TXNDC9"	"ATP5F1D"	"SCN10A"	"EIF4G1"
"UAP1"	"ATP5F1E"	"SCN11A"	"ESPN"
"UBA3"	"ATP5MC1"	"SCN1B"	"FLI1"
"UBC"	"ATP5MC1P5"	"SCN2B"	"FTSJ1"
"UBE2A"	"ATP5MC2"	"SCN3B"	"GBA1"
"UBE2B"	"ATP5MC3"	"SCN4A"	"GIGYF2"
"UBE2D3"	"ATP5PB"	"SCN4B"	"GJA5"
"UBE2E3"	"ATP5PD"	"SCN5A"	"GJA8"
"UBE2G1"	"ATP5PF"	"SCN7A"	"GP1BB"
"UBE2M"	"ATP5PO"	"SCN9A"	"HARS1"
"UBE2N"	"CASP3"	"SESN1"	"HIRA"
"UBE2V1"	"CASP9"	"SESN2"	"HTR2A"
"UBL3"	"COX4I1"	"SHANK1"	"JMJD1C"
"UBL5"	"COX4I2"	"SHANK2"	"KRT81"
"UBP1"	"COX5A"	"SHMT1"	"KRT83"
"UBXN4"	"COX5B"	"SHMT2"	"KRT86"
"UCHL1"	"COX6A1"	"SIRT3"	"LRRK2"
"UCHL3"	"COX6A2"	"SLC17A6"	"MED12"
"UGGT2"	"COX6B1"	"SLC18A1"	"MSTO1"
"UGP2"	"COX6B2"	"SLC19A1"	"MT-TE"
"ULK2"	"COX6C"	"SLC25A12"	"MT-TS2"
"UQCC1"	"COX6CP3"	"SLC25A13"	"MTHFR"
"UQCR10"	"COX7A1"	"SLC25A32"	"MYO7A"
"UQCR11"	"COX7A2"	"SLC25A39"	"NIPA1"
"UQCRC1"	"COX7A2L"	"SLC25A40"	"NIPA2"
"UQCRC2"	"COX7B"	"SLC32A1"	"NKX2-1"
"UQCRH"	"COX7B2"	"SLC46A1"	"PCDH15"
"UQCRQ"	"COX7C"	"SLC52A1"	"PDZD7"
"UROS"	"COX8A"	"SLC52A2"	"PRODH"
"USE1"	"COX8C"	"SLC52A3"	"PSAP"
"USO1"	"CYC1"	"SLC6A1"	"RBM12"
"USP10"	"CYCS"	"SLC6A2"	"RREB1"
"USP14"	"GPR37"	"SLC6A3"	"RTN4R"
"USP15"	"MT-ATP6"	"SLC6A4"	"SEC24C"
"USP25"	"MT-ATP8"	"SNAP25"	"SETD1A"
"USP33"	"MT-ND2"	"SOD1"	"SHANK3"
"USP6"	"MT-ND3"	"SOD2"	"SLC12A2"
"USP9X"	"MT-ND4L"	"SOD3"	"SNCA"
"USP9Y"	"NDUFA1"	"SORBS2"	"SYN2"
"UTP18"	"NDUFA10"	"SPR"	"TBX1"
"UTP25"	"NDUFA2"	"STK11"	"TPM2"
"UXS1"	"NDUFA3"	"STXBP1"	"TUBG1"
"VAMP1"	"NDUFA4"	"SULT1A3"	"UFD1"
"VAMP2"	"NDUFA4L2"	"SYP"	"UPF3B"
"VAMP7"	"NDUFA5"	"SYT1"	"USH1C"
"VARS1"	"NDUFA6"	"TAAR1"	"USH1G"
"VBP1"	"NDUFA7"	"TCN1"	"USH2A"
"VCP"	"NDUFA8"	"TCN2"	"VPS35"
"VDAC1"	"NDUFA9"	"TDO2"	"WFS1"
"VDAC3"	"NDUFAB1"	"TH"	"WHRN"
"VEGFA"	"NDUFB1"	"TNF"	"ZBTB20"
"VIP"	"NDUFB10"	"TPH1"	"ZDHHC9"
"VLDLR"	"NDUFB2"	"TPH2"	"ABCB7"
"VMP1"	"NDUFB3"	"TYMS"	"ADGRV1"
"VPS33B"	"NDUFB4"	"ULK1"	"AMACR"
"VPS41"	"NDUFB5"	"VAMP2"	"APOL2"
"VSNL1"	"NDUFB6"	"WDR45"	"APOL4"
"VWF"	"NDUFB7"	"WIPI1"	"ARSA"
"WASF1"	"NDUFB8"	"WIPI2"	"ARSG"
"WASHC3"	"NDUFB9"	"XDH"	"ARVCF"
"WBP11"	"NDUFC1"	"ARC"	"ATG7"
"WBP4"	"NDUFC2"	"BDNF"	"ATP2A2"
"WDHD1"	"NDUFS1"	"CAMK2B"	"CAT"
"WDR12"	"NDUFS2"	"CAMK4"	"CDH23"
"WDR7"	"NDUFS3"	"EIF4EBP1"	"CEP78"
"WFDC1"	"NDUFS4"	"GSK3B"	"CHI3L1"
"WIF1"	"NDUFS5"	"HRAS"	"CHRNA7"
"XK"	"NDUFS6"	"KRAS"	"CIB2"
"XPO7"	"NDUFS7"	"MAPK1"	"CLRN1"
"YIPF3"	"NDUFS8"	"MAPK3"	"CNTNAP2"
"YME1L1"	"NDUFV1"	"NF1"	"COMT"
"YPEL5"	"NDUFV2"	"NRAS"	"DAOA"
"YWHAB"	"NDUFV3"	"PRKAB1"	"DNAJC13"
"YWHAH"	"PPID"	"PRKAB2"	"DNMT3A"
"YWHAZ"	"SDHA"	"PRKAG1"	"DRD3"
"ZC3H15"	"SDHB"	"PRKAG2"	"DSG4"
"ZFR"	"SDHC"	"PRKAG3"	"EIF4G1"
"ZMAT3"	"SDHCP5"	"RPS6KB1"	"ESPN"
"ZMYM4"	"SDHD"	"AARS1"	"FLI1"
"ZNF142"	"SEPTIN5"	"ABCB7"	"FTSJ1"
"ZNF184"	"SLC18A1"	"ACTL6B"	"GBA1"
"ZNF204P"	"SLC25A31"	"ADNP"	"GIGYF2"
"ZNF207"	"SLC25A4"	"ADSL"	"GJA5"
"ZNF706"	"SLC25A5"	"AHDC1"	"GJA8"
"ZNF75D"	"SLC25A6"	"AKT1"	"GP1BB"
"ZNHIT3"	"UBA1"	"ALAD"	"HARS1"
"ZW10"	"UBA7"	"ALDH5A1"	"HIRA"
"ACTR8"	"UBB"	"ALG13"	"HTR2A"
"ADCY7"	"UBE2G1"	"ALG14"	"JMJD1C"
"ADD3"	"UBE2G2"	"ANKRD11"	"KRT81"
"ADGRA3"	"UBE2J1"	"AP3B2"	"KRT83"
"AGFG2"	"UBE2J2"	"ARCN1"	"KRT86"
"AGO1"	"UBE2L3"	"ARL6"	"LRRK2"
"AGTR1"	"UBE2L6"	"ARNT2"	"MED12"
"AKAP13"	"UQCR10"	"ARVCF"	"MSTO1"
"AKAP9"	"UQCR10P1"	"ASCC3"	"MT-TE"
"ALMS1"	"UQCR11"	"ASXL3"	"MT-TS2"
"ANGPT1"	"UQCRB"	"ATP1A2"	"MTHFR"
"ANGPTL2"	"UQCRC2"	"ATP1A3"	"MYO7A"
"ANP32B"	"UQCRFS1"	"ATP6V1A"	"NIPA1"
"APLNR"	"UQCRH"	"ATRX"	"NIPA2"
"APOC1"	"UQCRHL"	"BAZ1B"	"NKX2-1"
"APOC4"	"UQCRQ"	"BBIP1"	"PCDH15"
"APOL2"	"VDAC1"	"BBS1"	"PDZD7"
"ARFGAP1"	"VDAC2"	"BBS10"	"PRODH"
"ARFGAP2"	"VDAC2P5"	"BBS12"	"PSAP"
"ARHGAP17"	"VDAC3"	"BBS2"	"RBM12"
"ARHGEF15"	"CASP2"	"BBS4"	"RREB1"
"ARID1A"	"CASP6"	"BBS5"	"RTN4R"
"ARID4A"	"CASP7"	"BBS7"	"SEC24C"
"ARPC1B"	"CCNE1"	"BBS9"	"SETD1A"
"ASCL1"	"CCNE2"	"BCKDK"	"SHANK3"
"ATG3"	"DDC"	"BRD4"	"SLC12A2"
"ATP10D"	"EPRS1"	"BUD23"	"SNCA"
"ATP8B1"	"MAPK11"	"CACNA1A"	"SYN2"
"BGN"	"MAPK12"	"CACNA1B"	"TBX1"
"BRAP"	"MAPK13"	"CACNA1C"	"TPM2"
"BRD1"	"MAPK14"	"CACNA2D1"	"TUBG1"
"BRS3"	"MIR10A"	"CASZ1"	"UFD1"
"C5"	"MIR1224"	"CDK13"	"UPF3B"
"CALML4"	"MIR127"	"CDK19"	"USH1C"
"CASP6"	"MIR128-1"	"CELF2"	"USH1G"
"CAST"	"MIR128-2"	"CEP19"	"USH2A"
"CCDC59"	"MIR1294"	"CEP290"	"VPS35"
"CD44"	"MIR132"	"CFAP418"	"WFS1"
"CD58"	"MIR136"	"CHD1"	"WHRN"
"CDC14A"	"MIR16-2"	"CHD7"	"ZBTB20"
"CDC42EP4"	"MIR18A"	"CHD8"	"ZDHHC9"
"CDK2AP1"	"MIR195"	"CHRNA7"	"ABCB7"
"CEBPA"	"MIR19A"	"CLIP2"	"ADGRV1"
"CEP350"	"MIR19B1"	"CLTC"	"AMACR"
"CFLAR"	"MIR19B2"	"CNKSR2"	"APOL2"
"CHD2"	"MIR212"	"CNTNAP2"	"APOL4"
"CLDN18"	"MIR26A1"	"COMT"	"ARSA"
"CLDN5"	"MIR26A2"	"CREBBP"	"ARSG"
"CLIC1"	"MIR26B"	"CYFIP2"	"ARVCF"
"CLU"	"MIR30A"	"CYP27A1"	"ATG7"
"CNPY3"	"MIR30E"	"DALRD3"	"ATP2A2"
"COG4"	"MIR338"	"DEAF1"	"CAT"
"COL8A2"	"MIR34B"	"DHCR7"	"CDH23"
"COTL1"	"MIR34C"	"DHDDS"	"CEP78"
"CPM"	"MIR370"	"DICER1"	"CHI3L1"
"CPNE3"	"MIR375"	"DNAJC30"	"CHRNA7"
"CPQ"	"MIR409"	"DNM1"	"CIB2"
"CPSF1"	"MIR431"	"DOCK7"	"CLRN1"
"CPT2"	"MIR433"	"DPAGT1"	"CNTNAP2"
"CR1"	"MIR4448"	"DPYD"	"COMT"
"CRYBG1"	"MIR485"	"DPYS"	"DAOA"
"CSDE1"	"MIR503"	"DYRK1A"	"DNAJC13"
"CSF1"	"MIR873"	"EEF1A2"	"DNMT3A"
"CSNK2A2"	"MIRLET7G"	"EHMT1"	"DRD3"
"CTDSP1"	"SYT11"	"EIF4A2"	"DSG4"
"CTDSP2"	"ABCA7"	"EIF4H"	"EIF4G1"
"CTPS2"	"ACBD6"	"ELN"	"ESPN"
"CTRC"	"ADH1C"	"EP300"	"FLI1"
"CTSL"	"AFG3L2"	"ERI1"	"FTSJ1"
"CTSS"	"ALS2"	"EXT2"	"GBA1"
"CUL4A"	"AOPEP"	"FBXO28"	"GIGYF2"
"CYP11A1"	"AP5Z1"	"FGF12"	"GJA5"
"CYP39A1"	"APOE"	"FGFR1"	"GJA8"
"CYP4F3"	"APP"	"FKBP6"	"GP1BB"
"DAO"	"ARVCF"	"FLCN"	"HARS1"
"DAPK2"	"ATN1"	"FLG"	"HIRA"
"DBF4"	"ATP13A2"	"FMR1"	"HTR2A"
"DCN"	"ATP1A3"	"FOXG1"	"JMJD1C"
"DGCR6"	"ATP6AP2"	"FTCD"	"KRT81"
